anchor_strut_id,human_label,neighbor_strut_id,neighbor_prediction,similarity_distance,label_agrees,neighbor_occupancy,neighbor_gap_fraction,neighbor_thickness_um,neighbor_centerline_displacement_voxels,neighbor_length_voxels
1775,healthy,3817,uncertain,0.0267938124358968,False,0.0232558139534883,0.76,,1.0529415246700362,55.84560994969745
1775,healthy,5889,uncertain,0.04649528742399773,False,0.0232558139534883,0.76,,1.2022241492956611,55.84560994969744
1775,healthy,5891,uncertain,0.11440516566540794,False,0.0232558139534883,0.741904761904762,,1.7079090354434354,55.84560994969746
1775,healthy,3791,uncertain,0.1201446978442567,False,0.0697674418604651,0.7238095238095238,,1.741820632304763,55.8456099496975
1775,healthy,5861,uncertain,0.12212691008832438,False,0.0465116279069767,0.741904761904762,,1.7102172595571947,55.845609949697376
1775,healthy,3819,uncertain,0.12236043807014112,False,0.0465116279069767,0.7419047619047617,,1.7602900530704788,55.845609949697476
1775,healthy,1803,uncertain,0.12528031883584606,False,0.0465116279069767,0.741904761904762,,1.665711604082098,55.84560994969746
1775,healthy,5807,uncertain,0.19729349561408788,False,0.0465116279069767,0.741904761904762,,2.2749067604974456,55.8456099496974
1775,healthy,5863,uncertain,0.2034092749578673,False,0.0465116279069767,0.741904761904762,,2.299900484246303,55.845609949697355
1775,healthy,3847,uncertain,0.206894979589632,False,0.0465116279069767,0.741904761904762,,2.067213240378195,55.84560994969744
1775,healthy,5835,uncertain,0.22096864881006814,False,0.0232558139534883,0.7599999999999999,,2.349292983265285,55.845609949697455
1775,healthy,3901,uncertain,0.264667898235155,False,0.0232558139534883,0.76,,2.7338845001394936,55.84560994969733
1775,healthy,1887,uncertain,0.2720447481235068,False,0.0465116279069767,0.741904761904762,,2.76624837435697,55.845609949697575
1775,healthy,1829,uncertain,0.3156663917574682,False,0.1860465116279069,0.6333333333333333,,2.979959876360316,55.84560994969736
1775,healthy,7849,uncertain,0.34432988228131867,False,0.0232558139534883,0.7599999999999999,,1.9084287070972494,55.845609949697476
6754,healthy,8339,uncertain,0.0531416035295944,False,1.0,0.0,341.6492617742388,1.8184838964197312,55.84560994969743
6754,healthy,8547,uncertain,0.05363313006221493,False,1.0,0.0,344.9573462901209,1.7408013587434348,55.84560994969745
6754,healthy,6531,healthy,0.06327275515200127,True,1.0,0.0,340.82885569815767,1.6750044011103444,55.84560994969745
6754,healthy,7841,bent_or_misaligned,0.07671968345477267,False,1.0,0.0,343.71507954439573,2.1195569389087363,55.84560994969743
6754,healthy,11446,healthy,0.07844577770181593,True,1.0,0.0,341.78661708821136,1.618330453399645,55.84560994969747
6754,healthy,11738,healthy,0.08115578758489952,True,1.0,0.0,343.7056906824383,1.5226368386048965,55.84560994969743
6754,healthy,8533,uncertain,0.08331525638353375,False,1.0,0.0,344.4245249531906,1.7432632601533085,55.84560994969736
6754,healthy,8107,healthy,0.08606045942958318,True,1.0,0.0,346.3057831446243,1.4544405333033747,55.84560994969733
6754,healthy,11894,healthy,0.08641684396346769,True,1.0,0.0,337.2863245311354,1.6557059639628433,55.845609949697504
6754,healthy,8327,healthy,0.08793319669884,True,1.0,0.0,340.5558273592228,1.6196911883709062,55.84560994969743
6754,healthy,6971,uncertain,0.08938689019977633,False,1.0,0.0,345.263077067694,1.7833569776446918,55.845609949697305
6754,healthy,6534,healthy,0.090380116447161,True,1.0,0.0,344.11649755062376,1.630952693131565,55.84560994969749
6754,healthy,11429,bent_or_misaligned,0.09074045714861625,False,1.0,0.0,341.1244145250478,2.1395011288400374,55.84560994969747
6754,healthy,8550,healthy,0.09797025193929919,True,1.0,0.0,345.647349212994,1.3136584951854615,55.845609949697504
6754,healthy,11431,bent_or_misaligned,0.10339459093297249,False,1.0,0.0,340.10607035846795,2.3308181924561016,55.845609949697504
14755,healthy,12519,uncertain,0.019226762902251983,False,0.9302325581395348,0.036190476190476197,,4.657937907243836,55.845609949697234
14755,healthy,12516,uncertain,0.04900803675393224,False,0.7441860465116279,0.07238095238095239,,4.690385839774723,55.8456099496975
14755,healthy,5335,uncertain,0.2171190525921664,False,0.9069767441860463,0.03619047619047618,,4.601743996434165,55.845609949697476
14755,healthy,17135,uncertain,0.2197893099638771,False,1.0,0.0,,4.656390627119794,55.845609949697554
14755,healthy,14752,uncertain,0.2279147887420974,False,1.0,0.0,,4.674325279765409,55.845609949697455
14755,healthy,3099,uncertain,0.22855070995387383,False,0.9302325581395348,0.03619047619047619,,4.609962979062201,55.845609949697575
14755,healthy,13396,uncertain,0.22949639348178225,False,0.9534883720930232,0.03619047619047619,,4.709002936767925,55.84560994969739
14755,healthy,13839,uncertain,0.22958479945809898,False,1.0,0.0,,4.5952019354936535,55.845609949697156
14755,healthy,11383,uncertain,0.23365420172510898,False,0.8837209302325582,0.05428571428571429,,4.650274878765173,55.84560994969747
14755,healthy,17647,uncertain,0.23476475687528608,False,0.9767441860465116,0.018095238095238098,,4.6410776228940795,55.84560994969759
14755,healthy,14315,uncertain,0.23964843235733677,False,1.0,0.0,,4.5731485798860385,55.84560994969742
14755,healthy,17391,uncertain,0.24415598064010915,False,1.0,0.0,,4.6449538850280145,55.8456099496976
14755,healthy,12739,uncertain,0.24599492242220972,False,1.0,0.0,,4.662535701851861,55.84560994969719
14755,healthy,13616,uncertain,0.2535731710841973,False,1.0,0.0,,4.607721203659073,55.84560994969751
14755,healthy,12956,uncertain,0.25798562789291934,False,1.0,0.0,,4.593648158698259,55.84560994969751
